global_row_id,dataset_name,source_file,conversation_id,turn_index,speaker_id,role,start_time,end_time,duration_min,text,outcome,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
casino_nego__0,casino_nego,casino-nego.csv,0,0,0,participant_1,0.0,7.6,,"Hello! 🙂 Let's work together on a deal for these packages, shall we? What are you most interested in?",deal,0.012389168,0.0051550088,0.0012980347,0.0030405484,0.050173078,0.007342013,0.039012328,0.6778946,0.014137292,0.0010171792,0.0025735814,0.00060230703,0.00038109825,0.09211656,0.0014671198,0.0015639277,0.00035049237,0.012302235,0.009236769,0.00125677,0.01297987,0.00026349645,0.003930108,0.0007700121,0.0006780354,0.0012861069,0.004724827
casino_nego__1,casino_nego,casino-nego.csv,0,1,1,participant_2,7.6,13.6,,Hey! I'd like some more firewood to keep my doggo warm. What do you need?,deal,0.0040486795,0.0024232469,0.0023248894,0.008248891,0.023501584,0.011272657,0.017581634,0.45641887,0.26711085,0.0034058043,0.003951519,0.0013403102,0.0004455831,0.008853052,0.0014047533,0.00077200984,0.00049443945,0.0024597722,0.01226258,0.0008884848,0.015475878,0.00017481115,0.0025490688,0.00047060836,0.0012699848,0.002569681,0.001763426
casino_nego__2,casino_nego,casino-nego.csv,0,2,0,participant_1,13.6,24.4,,"I need firewood as well. We have a large group consisting of mostly senior citizens, including my grandma, so we'd like the firewood to keep everyone warm.",deal,0.005706067,0.0010732234,0.0012550737,0.008275765,0.05649447,0.01503885,0.0016224224,0.0040252283,0.5657472,0.007607619,0.0041378886,0.0024493027,0.00043109263,0.0032384957,0.0010984903,0.0017248654,0.0006893428,0.0028745732,0.007294738,0.0012262575,0.019532444,0.0007191933,0.0072963894,0.0012149961,0.0012620991,0.0056669815,0.0004574452
casino_nego__3,casino_nego,casino-nego.csv,0,3,1,participant_2,24.4,28.0,,I see. 😮 What are you least interested in?,deal,0.0040242667,0.0050245244,0.005150394,0.021307927,0.08534138,0.010102997,0.08623157,0.7777902,0.008212108,0.01847141,0.024462113,0.0016540657,0.001521939,0.0033514458,0.001982116,0.00017475466,0.00086726836,0.002105046,0.011554282,0.0021943194,0.013211311,0.00012207514,0.011282498,0.00064315397,0.0024402323,0.011194128,0.003222192
casino_nego__4,casino_nego,casino-nego.csv,0,4,0,participant_1,28.0,36.8,,We can make do without extra water. Can we trade two waters for an extra firewood package and an extra food package?,deal,0.0023578384,0.0009756344,0.0007556173,0.0033651297,0.1422446,0.01588011,0.09014341,0.25687724,0.017720597,0.0018888572,0.004776489,0.0005561583,0.0002601609,0.0031147199,0.0010368435,0.0010855141,0.00037452273,0.0019103524,0.004060577,0.0008000047,0.07589556,0.00023830551,0.0119214235,0.000751544,0.0011935561,0.0015121937,0.0017109774
casino_nego__5,casino_nego,casino-nego.csv,0,5,1,participant_2,36.8,45.2,,We could do without the water as well. I'm willing to trade you 3 firewood for 3 food and 2 waters,deal,0.001887547,0.000881216,0.00073777826,0.0030640082,0.21850719,0.017091652,0.0028083818,0.004524238,0.054883756,0.0017408122,0.003615919,0.0009698809,0.00016425576,0.0019694038,0.00070214464,0.0013498295,0.00032375916,0.0026407233,0.0073189214,0.00044798644,0.048314538,0.00038603786,0.00718432,0.0010968226,0.00076240324,0.0015829003,0.00033003252
casino_nego__6,casino_nego,casino-nego.csv,0,6,0,participant_1,45.2,56.4,,"We need some firewood too, though! ☹️ Let's try to make a deal that benefits us both! 🙂 Could I have 1 firewood, 3 food, and 3 waters?",deal,0.007575789,0.0024182561,0.0013152055,0.0035938006,0.113031395,0.020776369,0.025227612,0.40484092,0.33211294,0.0027435955,0.004832344,0.00069431344,0.0003244445,0.014076822,0.0011986404,0.0010673852,0.0005346462,0.004781946,0.01876601,0.0010289536,0.09082353,0.00034545205,0.00574022,0.0008738862,0.0016217575,0.0025486762,0.0020323764
casino_nego__7,casino_nego,casino-nego.csv,0,7,1,participant_2,56.4,62.0,,"I meant I would give you my firewood, what would you trade in return?",deal,0.0016928754,0.0021819356,0.0026762509,0.008164214,0.019159526,0.005767272,0.06752058,0.43482187,0.0108900815,0.0013303434,0.001966843,0.0009327924,0.00029539585,0.0019301627,0.00090165937,0.0007175513,0.0002452682,0.00106293,0.0028295359,0.00036825263,0.0207549,9.028917e-05,0.004112401,0.00022794308,0.00051259244,0.0008606767,0.002164908
casino_nego__8,casino_nego,casino-nego.csv,0,8,0,participant_1,62.0,72.8,,"Oh sorry for the confusion. 😮 In that case, thank you for the generosity! 🙂 How about if I have 3 firewood, 1 food, and 1 water?",deal,0.009455801,0.009203702,0.0061567314,0.009322693,0.02675963,0.017600555,0.4074928,0.20617011,0.0041691987,0.0069737644,0.013922651,0.002648065,0.006848706,0.0051726215,0.0025836553,0.9339062,0.0040390766,0.010956332,0.009158867,0.005140567,0.016807681,0.0010765248,0.021496128,0.007023568,0.19648682,0.026176954,0.006580735
casino_nego__9,casino_nego,casino-nego.csv,0,9,1,participant_2,72.8,76.8,,I can do that for 3 food and 3 water?,deal,0.0031478133,0.001205348,0.0005700114,0.0023006597,0.13114887,0.002493379,0.09804742,0.15047158,0.0070004365,0.0013378591,0.0029188348,0.0007031655,0.00034544052,0.00818925,0.001305348,0.0007835041,0.00028107924,0.0021797544,0.0026227152,0.00079362857,0.042263992,0.00028607,0.021999104,0.00059159053,0.0005184631,0.00091834017,0.0061080926
