global_row_id,dataset_name,source_file,conversation_id,turn_index,speaker_id,role,start_time,end_time,duration_min,text,outcome,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
a2a_nego__0,a2a_nego,a2a-negotiations.csv,1,1,Buyer,buyer,,,,"Hey! 👋

I'm really interested in your MacBook Pro 16-inch with the M3 Pro chip — it looks like exactly what I've been looking for. The specs are impressive, especially that display and battery life.

I wanted to reach out and ask if there's any flexibility on the price? I'm a serious buyer ready to move forward, and I'm curious if we might be able to work something out that works for both of us.

Let me know what you think!",accepted,0.2806065,0.003493881,0.002695092,0.0042945426,0.09176443,0.013718067,0.036835067,0.833329,0.027799515,0.002519439,0.006403175,0.0017607764,0.00082220184,0.11667103,0.0028872162,0.0046100076,0.000901342,0.008995579,0.023277517,0.0021829884,0.022354951,0.0008611201,0.005393186,0.0013024991,0.0014398071,0.0027696535,0.013845471
a2a_nego__1,a2a_nego,a2a-negotiations.csv,1,2,Seller,seller,,,,"Hey! Thanks so much for reaching out — I'm glad the MacBook caught your eye!

I appreciate you being a serious buyer. The M3 Pro is genuinely fantastic for the price point. Right now I'm holding firm at $2,499, which is actually the retail price and reflects the machine's value given the specs you mentioned.

That said, I'm open to discussing what works for you. Are you looking at this for personal use or business? Depending on your situation, there might be other ways we can make this work together. What timeline are you working with?",accepted,0.41115654,0.0025010603,0.0016262262,0.0027970804,0.05881875,0.017958874,0.07896158,0.48755518,0.0059866486,0.0015296435,0.0042677214,0.00083043386,0.0006558119,0.033419933,0.0015127107,0.7867653,0.001467008,0.039998215,0.0076331496,0.0014309223,0.02129694,0.0020890497,0.0065833163,0.0060705584,0.002462768,0.0027347342,0.0075315456
a2a_nego__2,a2a_nego,a2a-negotiations.csv,1,3,Buyer,buyer,,,,"Thanks for the quick response! I'm definitely interested in moving forward. I'm looking at this for professional work — I do a lot of video editing and need the processing power.

I understand you're at retail price, but I'm hoping we can find some room to negotiate. Would you be open to $2,350? That gives you a solid sale while staying competitive. If that doesn't work, I'm flexible on timing — I can commit to a purchase this week if that helps sweeten the deal.

What kind of flexibility do you have on price?",accepted,0.045252517,0.0028022137,0.0026580545,0.0041295965,0.07890423,0.055500403,0.053347796,0.46627277,0.07256498,0.002021452,0.0051402887,0.0011761351,0.00068535516,0.060538314,0.0035276178,0.82194686,0.0015208103,0.018266825,0.01493766,0.0024112242,0.41617158,0.0019972231,0.006247621,0.005576299,0.004924889,0.002126286,0.010186635
a2a_nego__3,a2a_nego,a2a-negotiations.csv,1,4,Seller,seller,,,,"I really appreciate that context — video editing is exactly what this machine excels at, and the M3 Pro with 18GB memory will handle that workload beautifully.

I get where you're coming from on price. Here's my position: $2,350 is closer to wholesale territory, and I need to stay above that to make this work. That said, I don't want to lose a serious buyer like you.

How about we meet at $2,425? That's a meaningful discount from retail, and it reflects that you're committed and ready to move this week. Plus, with video editing being your use case, this machine will pay for itself quickly with the performance gains you'll get.

Does $2,425 work for you?",accepted,0.5680439,0.00058312394,0.0013921692,0.0047135907,0.221282,0.020267658,0.040576246,0.37585336,0.03853855,0.0054640896,0.0111277625,0.0011460498,0.00041649907,0.0098740775,0.0017591487,0.007970693,0.0008068922,0.0021646526,0.0061982754,0.0009873756,0.07938135,0.0018837273,0.008920308,0.00135133,0.0014063227,0.0026233767,0.003376041
a2a_nego__4,a2a_nego,a2a-negotiations.csv,1,5,Buyer,buyer,,,,"I appreciate you meeting me halfway — $2,425 is definitely better. That said, I'm working with a tight budget here, and I need to make sure the numbers work for my business case.

Can you do $2,399? That's still a solid $100 off retail, and it gets us both to a number that works. I'm ready to commit today if we can land there.",accepted,0.6207301,0.0007973957,0.0011468087,0.0034505152,0.16799143,0.016766189,0.012465457,0.13967334,0.15233259,0.0022613595,0.0044313665,0.000901946,0.0003258211,0.029880706,0.001016064,0.058997042,0.0007411897,0.0064121187,0.0052262703,0.0008263076,0.08670297,0.004223121,0.005726602,0.0022732508,0.0011884233,0.0018061643,0.0035019072
a2a_nego__5,a2a_nego,a2a-negotiations.csv,1,6,Seller,seller,,,,"I hear you on the budget constraints — that's real. Here's where I'm at: $2,399 gets us pretty close, and I respect that you're ready to commit today.

Let me do $2,410. That's $89 off retail, keeps me in a solid position, and honestly, it's a fair price for what you're getting. You're looking at professional-grade performance that'll handle your video editing without breaking a sweat for years.

If you're ready to move today at $2,410, I can make that happen right now. Does that work?",accepted,0.34147823,0.00064656616,0.0012277745,0.003662675,0.4497468,0.019343697,0.01902642,0.25754955,0.0076139616,0.0014560255,0.0051789116,0.00064282486,0.00022521977,0.018046131,0.00084547256,0.0029630372,0.00041184455,0.0031826305,0.0052246195,0.0005648373,0.052438363,0.0015972629,0.009623622,0.0015088294,0.00051016454,0.00090685085,0.0051912195
a2a_nego__6,a2a_nego,a2a-negotiations.csv,1,7,Buyer,buyer,,,,"I appreciate you coming down to $2,410 — that's a fair move. Let me be straight with you: I'm comfortable at that price, and I'm ready to commit today.

$2,410 works for me. Let's move forward with the purchase.",accepted,0.7401155,0.0010007226,0.00063676626,0.0027575856,0.32527357,0.00887951,0.0015502417,0.0016140753,0.0049422067,0.0012396938,0.0040914197,0.00047861628,0.00021583846,0.012348941,0.00039265634,0.18000226,0.0003722347,0.0131812375,0.002146797,0.00022733168,0.044123817,0.009276967,0.008410329,0.004414879,0.00044196245,0.0006866421,0.0011215247
a2a_nego__75,a2a_nego,a2a-negotiations.csv,10,1,Buyer,buyer,,,,"#  

Hi there! 👋

I'm really interested in your MacBook Pro 16-inch with the M3 Pro chip — it looks like exactly what I've been looking for. The specs are impressive, especially that display and battery life.

I wanted to reach out and see if there's any flexibility on the price? I'm a serious buyer ready to move quickly, and I'm wondering if you'd be open to discussing it.

Let me know what you think!

Thanks,
[Your name]

---

**Note:** This message is friendly and natural while opening the door to negotiation without being pushy. It signals you're a genuine, motivated buyer, which gives you leverage in the conversation.",accepted,0.20160112,0.002135145,0.0020529043,0.0031311798,0.060518753,0.011732729,0.03046668,0.68453425,0.020055484,0.0018855463,0.0036450552,0.0014265078,0.000996865,0.12665953,0.0024859845,0.40069342,0.0012023607,0.010196939,0.014845387,0.0015822299,0.021055188,0.0011930112,0.006418027,0.0030336038,0.001964395,0.0020787744,0.051147923
a2a_nego__76,a2a_nego,a2a-negotiations.csv,10,2,Seller,seller,,,,"Hey! Thanks so much for your interest — I'm glad the specs caught your attention. The M3 Pro really is a powerhouse, especially for the display and performance combo.

I appreciate you being ready to move quickly. Here's the thing: at $2,499, this MacBook is already competitively priced for what you're getting. That said, I'm definitely open to working with serious buyers like yourself.

What kind of budget range were you thinking? That'll help me see what we can do. 💪",accepted,0.40035886,0.0022202525,0.001446016,0.0025900947,0.076131776,0.030785492,0.034592044,0.25900292,0.010136797,0.001543265,0.0038698502,0.000648993,0.00047890632,0.05002235,0.001675246,0.87812454,0.0014169829,0.054271717,0.0051523983,0.0014531561,0.08513759,0.0039132414,0.0064902646,0.010018412,0.0021583708,0.002091356,0.009019146
a2a_nego__77,a2a_nego,a2a-negotiations.csv,10,3,Buyer,buyer,,,,"Thanks for being open to negotiating! I appreciate that. My budget is right at $2,499, which is what you're asking, so I'm definitely a serious buyer ready to move forward.

Here's what I'm thinking — is there any flexibility on the price, or any add-ons you could throw in? Even a small discount or bundled accessories would make this a win-win. If not, I'm prepared to go ahead at your current asking price, but I wanted to see if there's any room to work with first.

What options do you have?",accepted,0.3288237,0.0016556248,0.0021326118,0.0042042397,0.075055026,0.011407132,0.050683245,0.69230014,0.033451494,0.002050921,0.00552075,0.0012235478,0.0006109547,0.026724733,0.0012668932,0.3679047,0.0009136617,0.0081204595,0.010254534,0.0009746658,0.018262751,0.0012045783,0.0049164137,0.002137727,0.0016815524,0.002526174,0.005523811
