conversation_id,source_conversation_id,utterance_id,turn_id,speaker_role,speaker_id,start_time,end_time,duration,text,points_scored,satisfaction,m6_satisfaction,opponent_likeness,m7_likeness,outcome,is_deal,observed_outcome_json,outcome_correction_note,m1_joint_utility,m2_fairness_abs_diff,m3_p2_advantage,m4_high_joint,m5_pareto_efficient
0,utterance_0,utterance_0,1,participant_1,0,0,7.6,7.6,"Hello! 🙂 Let's work together on a deal for these packages, shall we? What are you most interested in?",19,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_1,2,participant_2,1,7.6,13.6,6,Hey! I'd like some more firewood to keep my doggo warm. What do you need?,18,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_2,3,participant_1,0,13.6,24.4,10.8,"I need firewood as well. We have a large group consisting of mostly senior citizens, including my grandma, so we'd like the firewood to keep everyone warm.",19,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_3,4,participant_2,1,24.4,28,3.6,I see. 😮 What are you least interested in?,18,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_4,5,participant_1,0,28,36.8,8.8,We can make do without extra water. Can we trade two waters for an extra firewood package and an extra food package?,19,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_5,6,participant_2,1,36.8,45.2,8.4,We could do without the water as well. I'm willing to trade you 3 firewood for 3 food and 2 waters,18,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_6,7,participant_1,0,45.2,56.4,11.2,"We need some firewood too, though! ☹️ Let's try to make a deal that benefits us both! 🙂 Could I have 1 firewood, 3 food, and 3 waters?",19,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_7,8,participant_2,1,56.4,62,5.6,"I meant I would give you my firewood, what would you trade in return?",18,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_8,9,participant_1,0,62,72.8,10.8,"Oh sorry for the confusion. 😮 In that case, thank you for the generosity! 🙂 How about if I have 3 firewood, 1 food, and 1 water?",19,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_9,10,participant_2,1,72.8,76.8,4,I can do that for 3 food and 3 water?,18,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_10,11,participant_1,0,76.8,92.4,15.6,"I think we're close. Let's shake hands on this: 3 firewood, 1 food for me, and then 2 food and 3 water for you. I'll make sure your food packages have extra doggy treats! 🙂 Is that a deal?",19,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_11,12,participant_2,1,92.4,93.4,1,Submit-Deal,18,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
0,utterance_0,utterance_12,13,participant_1,0,93.4,94.4,1,Accept-Deal,19,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,37,1,0,0,1
1,utterance_13,utterance_13,1,participant_2,1,0,1.6,1.6,Hello. How are you?,17,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_14,2,participant_1,0,1.6,7.6,6,I am good. I am pretty excited for the trip this weekend. what about you?,19,Extremely satisfied,1,Slightly dislike,0,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_15,3,participant_2,1,7.6,10,2.4,Very excited. It will be fun.,17,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_16,4,participant_1,0,10,28,18,"Yes, Hopefully the weather holds up. So I was thinking, i am bringning my two kids along with me, and they will need food, so I was thinking i could take the three foods, and either one of the firewood or water, up to you.",19,Extremely satisfied,1,Slightly dislike,0,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_17,5,participant_2,1,28,34.8,6.8,I would also like a little extra food for my kids. Maybe we can split it somehow?,17,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_18,6,participant_1,0,34.8,48.4,13.6,"Ok, I am willing to give you one food, in exchange for two firewoods, that would mean you get 3 waters, 1 food and 1 firewood. you get 5 items, while i get 4.",19,Extremely satisfied,1,Slightly dislike,0,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_19,7,participant_2,1,48.4,57.2,8.8,"If I only get 1 food, than I would like 2 firewood. So you get 2 food, 1 firewood, and 1 water.",17,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_20,8,participant_1,0,57.2,76.4,19.2,"No i do not need water, as i am camping near a potable stream. I would like 2 firewood. It is only fair that i get two firewood, since you are getting more supplies (5), i think i should be able to choose what 4 i should get.",19,Extremely satisfied,1,Slightly dislike,0,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_21,9,participant_2,1,76.4,82,5.6,"No, if you get 2 food, it's only fair that I get 2 firewood.",17,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_22,10,participant_1,0,82,85.6,3.6,"Then i will take 3 waters, and 2 food.",19,Extremely satisfied,1,Slightly dislike,0,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_23,11,participant_2,1,85.6,89.6,4,Okay I will take all the firewood and 1 food.,17,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_24,12,participant_1,0,89.6,90.6,1,Submit-Deal,19,Extremely satisfied,1,Slightly dislike,0,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
1,utterance_13,utterance_25,13,participant_2,1,90.6,91.6,1,Accept-Deal,17,Slightly satisfied,1,Slightly like,1,deal,1,deal,deal_or_accept_deal,36,2,0,0,0
2,utterance_26,utterance_26,1,participant_2,1,0,1,1,Hey there!,23,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,9,1,0,0
2,utterance_26,utterance_27,2,participant_1,0,1,8.2,7.2,Hi! How are you?! You excited for your camping trip??! I sure am ready to go on mine!,14,Slightly satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,9,1,0,0
2,utterance_26,utterance_28,3,participant_2,1,8.2,19.4,11.2,"I am very excited, I'm actually going camping in a week. I drink a lot of water so it's important that I bring a lot. What about you?",23,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,9,1,0,0
2,utterance_26,utterance_29,4,participant_1,0,19.4,45,25.6,"I really am! I have been watching the weather and updates about the area I will be traveling to. They are experiencing a severe drought, so I will be in need of some extra water as well! I planned on staying an extra couple days as well. There is a stream nearby I believe, but I'm not sure how much it has dried up.",14,Slightly satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,9,1,0,0
2,utterance_26,utterance_30,5,participant_2,1,45,56.6,11.6,"That's good to hear, you always have to be careful with wild water though, it has all kind of germs. Sounds like you'll have plenty of dry firewood though.",23,Extremely satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,9,1,0,0
2,utterance_26,utterance_31,6,participant_1,0,56.6,66.6,10,"Yes, I would be willing to let you have all the firewood for 2 of the cases of water. How much food were you needing?",14,Slightly satisfied,1,Extremely like,1,deal,1,deal,deal_or_accept_deal,37,9,1,0,0
