conversation_id,turn_id,speaker_role,speaker_id,start_time,end_time,duration,text,outcome
0,1,participant_1,0,0,7.6,7.6,"Hello! 🙂 Let's work together on a deal for these packages, shall we? What are you most interested in?",deal
0,2,participant_2,1,7.6,13.6,6,Hey! I'd like some more firewood to keep my doggo warm. What do you need?,deal
0,3,participant_1,0,13.6,24.4,10.8,"I need firewood as well. We have a large group consisting of mostly senior citizens, including my grandma, so we'd like the firewood to keep everyone warm.",deal
0,4,participant_2,1,24.4,28,3.6,I see. 😮 What are you least interested in?,deal
0,5,participant_1,0,28,36.8,8.8,We can make do without extra water. Can we trade two waters for an extra firewood package and an extra food package?,deal
0,6,participant_2,1,36.8,45.2,8.4,We could do without the water as well. I'm willing to trade you 3 firewood for 3 food and 2 waters,deal
0,7,participant_1,0,45.2,56.4,11.2,"We need some firewood too, though! ☹️ Let's try to make a deal that benefits us both! 🙂 Could I have 1 firewood, 3 food, and 3 waters?",deal
0,8,participant_2,1,56.4,62,5.6,"I meant I would give you my firewood, what would you trade in return?",deal
0,9,participant_1,0,62,72.8,10.8,"Oh sorry for the confusion. 😮 In that case, thank you for the generosity! 🙂 How about if I have 3 firewood, 1 food, and 1 water?",deal
0,10,participant_2,1,72.8,76.8,4,I can do that for 3 food and 3 water?,deal
0,11,participant_1,0,76.8,92.4,15.6,"I think we're close. Let's shake hands on this: 3 firewood, 1 food for me, and then 2 food and 3 water for you. I'll make sure your food packages have extra doggy treats! 🙂 Is that a deal?",deal
0,12,participant_2,1,92.4,93.4,1,Submit-Deal,deal
0,13,participant_1,0,93.4,94.4,1,Accept-Deal,deal
1,1,participant_2,1,0,1.6,1.6,Hello. How are you?,deal
1,2,participant_1,0,1.6,7.6,6,I am good. I am pretty excited for the trip this weekend. what about you?,deal
1,3,participant_2,1,7.6,10,2.4,Very excited. It will be fun.,deal
1,4,participant_1,0,10,28,18,"Yes, Hopefully the weather holds up. So I was thinking, i am bringning my two kids along with me, and they will need food, so I was thinking i could take the three foods, and either one of the firewood or water, up to you.",deal
1,5,participant_2,1,28,34.8,6.8,I would also like a little extra food for my kids. Maybe we can split it somehow?,deal
1,6,participant_1,0,34.8,48.4,13.6,"Ok, I am willing to give you one food, in exchange for two firewoods, that would mean you get 3 waters, 1 food and 1 firewood. you get 5 items, while i get 4.",deal
1,7,participant_2,1,48.4,57.2,8.8,"If I only get 1 food, than I would like 2 firewood. So you get 2 food, 1 firewood, and 1 water.",deal
1,8,participant_1,0,57.2,76.4,19.2,"No i do not need water, as i am camping near a potable stream. I would like 2 firewood. It is only fair that i get two firewood, since you are getting more supplies (5), i think i should be able to choose what 4 i should get.",deal
1,9,participant_2,1,76.4,82,5.6,"No, if you get 2 food, it's only fair that I get 2 firewood.",deal
1,10,participant_1,0,82,85.6,3.6,"Then i will take 3 waters, and 2 food.",deal
1,11,participant_2,1,85.6,89.6,4,Okay I will take all the firewood and 1 food.,deal
1,12,participant_1,0,89.6,90.6,1,Submit-Deal,deal
