global_row_id,dataset_name,source_file,conversation_id,turn_index,speaker_id,role,start_time,end_time,duration_min,text,outcome,goemo_admiration,goemo_amusement,goemo_anger,goemo_annoyance,goemo_approval,goemo_caring,goemo_confusion,goemo_curiosity,goemo_desire,goemo_disappointment,goemo_disapproval,goemo_disgust,goemo_embarrassment,goemo_excitement,goemo_fear,goemo_gratitude,goemo_grief,goemo_joy,goemo_love,goemo_nervousness,goemo_optimism,goemo_pride,goemo_realization,goemo_relief,goemo_remorse,goemo_sadness,goemo_surprise,goemo_neutral,goemo_dominant_emotion,goemo_dominant_score,goemo_emotion_intensity
emaad_sales__784,emaad_sales,emaad-sales.csv,10057_56,0,0,buyer,1.0,5.12,,"Hello, good afternoon. Is this Mr. Ramirez? My name is Elena from Northline Energy Solutions.",no sale,0.0018925392,0.0012916194,0.0010058284,0.0033100967,0.05644047,0.003635177,0.039495055,0.19481425,0.002755909,0.0007175427,0.0009927347,0.00060429546,0.00033094749,0.02099743,0.0011283375,0.005665896,0.00033931603,0.004920997,0.0023892974,0.0008173006,0.0058550322,0.00025699445,0.009185905,0.0008803617,0.00041996184,0.0008377271,0.0063908794,0.6039922,neutral,0.6039922,0.97136414
emaad_sales__785,emaad_sales,emaad-sales.csv,10057_56,1,1,seller,5.34,6.11,,"Hello, yes, speaking.",no sale,0.0028715748,0.0017752673,0.0013723529,0.004249031,0.080229186,0.0010036869,0.0014978595,0.0016333403,0.00095705094,0.0011050565,0.0011513036,0.0011702369,0.00034127032,0.0047164643,0.00092238054,0.00069044676,0.00023718912,0.0029707938,0.001356507,0.00028398543,0.0021684885,0.00041987776,0.007832287,0.00048743992,0.00019078935,0.00096929196,0.0009381827,0.89832103,neutral,0.89832103,1.0218624
emaad_sales__786,emaad_sales,emaad-sales.csv,10057_56,2,0,buyer,6.65,11.92,,"Thanks so much, Mr. Ramirez. The reason for my call is to let you know you’ve been selected to receive a guaranteed rate reduction and monthly discounts on your energy bill.",no sale,0.0063048727,0.002214271,0.00094020634,0.003737742,0.019481981,0.0027953996,0.0020596578,0.0017569144,0.0015382115,0.0011351499,0.0017430666,0.00077011925,0.00042470417,0.0038080434,0.0004304705,0.9871607,0.00036087752,0.00517786,0.001421652,0.00021901604,0.007670218,0.00062349497,0.006071005,0.0026541234,0.0011237529,0.0014411816,0.001266003,0.0145098725,gratitude,0.9871607,1.0788406
emaad_sales__787,emaad_sales,emaad-sales.csv,10057_56,3,0,buyer,12.22,14.93,,Are you the primary account holder for the electricity service at your current address?,no sale,0.0024165406,0.0015846202,0.0017252448,0.0062406324,0.006764674,0.0018571226,0.1926039,0.6508278,0.001349958,0.0017565164,0.0034514808,0.0008256099,0.000487272,0.001483565,0.00082347903,0.0010567936,0.00024795547,0.00080854923,0.0017460313,0.00039551524,0.0027281216,4.548727e-05,0.0032979867,0.00013584371,0.0004933143,0.0011696139,0.0034811308,0.33303562,curiosity,0.6508278,1.2228404
emaad_sales__788,emaad_sales,emaad-sales.csv,10057_56,4,1,seller,15.45,16.02,,"Yes, I am.",no sale,0.0062552253,0.0025379127,0.0015743589,0.0048714844,0.4908049,0.0012009804,0.003347326,0.003092719,0.0017043516,0.0010538137,0.0026670077,0.001183769,0.00061419496,0.052309256,0.001203275,0.0015257755,0.00035250664,0.015868109,0.0023809897,0.000722013,0.0045206486,0.0018851265,0.027910326,0.0027909982,0.00021791727,0.00080303993,0.005224032,0.43333608,approval,0.4908049,1.0719582
emaad_sales__789,emaad_sales,emaad-sales.csv,10057_56,5,0,buyer,16.3,21.09,,"Great! So, you currently have service with Central Power Company, correct? May I ask roughly how much your monthly bill averages?",no sale,0.75476587,0.0027784558,0.0020572941,0.0035692302,0.045319345,0.0041060084,0.06887482,0.59165037,0.0022736466,0.0031025538,0.0051663974,0.0009032945,0.0006402257,0.012631846,0.0013266519,0.005464592,0.000707819,0.0043875556,0.004904,0.00078305585,0.009696463,0.00082107243,0.006264459,0.0007092363,0.00083390065,0.002836894,0.01216856,0.026969416,admiration,0.75476587,1.5757129
emaad_sales__790,emaad_sales,emaad-sales.csv,10057_56,6,1,seller,21.45,23.31,,"It fluctuates, but usually somewhere close to $85.",no sale,0.0016303159,0.00216328,0.0007424704,0.0061715445,0.09039493,0.0028300122,0.102092646,0.0075464128,0.0022680245,0.0052727032,0.0076942053,0.00119725,0.0006094176,0.0013786999,0.0010202777,0.00055955333,0.00038519362,0.0023363272,0.0019394913,0.0014677654,0.032765824,0.00033843776,0.056126155,0.0010602731,0.00058485137,0.0015557545,0.0018854558,0.71149933,neutral,0.71149933,1.0455166
emaad_sales__791,emaad_sales,emaad-sales.csv,10057_56,7,0,buyer,23.7,28.62,,"Perfect. With our new plan, you’d get a flat rate of $0.12 per kilowatt-hour and a $6 discount on your next statement—no contract, no early termination fee.",no sale,0.29237795,0.00054657727,0.0004567104,0.002047173,0.46174327,0.006834942,0.0013482248,0.0017594836,0.0034531788,0.0009298676,0.002678648,0.00037539692,0.00013004968,0.0075832675,0.00033953445,0.012043966,0.00022911622,0.008616574,0.0018295707,0.00019921732,0.026321612,0.0033593425,0.009227679,0.003115555,0.0002762643,0.0005928108,0.0007974998,0.19563307,approval,0.46174327,1.0448467
emaad_sales__792,emaad_sales,emaad-sales.csv,10057_56,8,0,buyer,29.19,32.45,,Would you be interested in lowering your monthly bill starting next cycle?,no sale,0.0055480963,0.0026701728,0.0018521193,0.0047742296,0.018301684,0.008214847,0.06151813,0.80433136,0.014374909,0.0018722909,0.0037101672,0.0007866781,0.00040784443,0.0068200845,0.0015613947,0.0013297836,0.00037921878,0.0023934382,0.0054649473,0.0007943076,0.02025698,9.961131e-05,0.003106336,0.00035422237,0.0009779577,0.0015707682,0.0030879683,0.22377966,curiosity,0.80433136,1.2003392
emaad_sales__793,emaad_sales,emaad-sales.csv,10057_56,9,1,seller,33.13,38.08,,"Honestly, I don't know. I get a lot of these calls and I'm not sure about switching. Last time I changed plans, it was more of a headache than a benefit.",no sale,0.004686311,0.0026983144,0.0036618276,0.031067692,0.061243195,0.0060297176,0.8442024,0.009665486,0.00427842,0.03563559,0.04412317,0.0031386826,0.0051345155,0.0034318701,0.0057434407,0.004906891,0.001282833,0.01289852,0.004622894,0.01754383,0.01195132,0.0012804033,0.06417405,0.0040237047,0.005493402,0.008078864,0.002479223,0.08598198,confusion,0.8442024,1.2894585
