conversation_id,turn_id,speaker_role,speaker_id,start_time,end_time,text,outcome,is_deal
1,1,candidate,0,0,7.6,Hello. I would like to discuss the issues of my contract. I would like a position of project manager,deal,1
1,2,employer,1,7.6,12.4,We do not have any project manager positions open at this time.,deal,1
1,3,candidate,0,12.4,15.2,I want a position of project manager,deal,1
1,4,employer,1,15.2,22.8,I do have programmer positions open with a strong potential to advance to project manager based on your performance.,deal,1
1,5,candidate,0,22.8,28.8,I disagree about a position of programmer. I would like a position of project manager,deal,1
1,6,employer,1,34.8,37.6,I disagree about position of project manager,deal,1
1,7,candidate,0,37.6,41.6,I am willing to have a position of team manager,deal,1
1,8,employer,1,41.6,45.6,I might consider team manager based on your other needs,deal,1
1,9,candidate,0,45.6,48.4,"I would like a salary of 120,000",deal,1
1,10,employer,1,48.4,52.4,it is a 10 hour work day for team manager,deal,1
1,11,candidate,0,56.4,63.6,I disagree. I am expecting a workday of 8 hours and I want a position of project manager,deal,1
1,12,employer,1,78,82.8,"I disagree, it is not possible. Maybe you should consider work elsewhere?",deal,1
1,13,candidate,0,87.6,91.2,"I am willing to have a salary of 120,000",deal,1
1,14,employer,1,94.8,105.6,"I have a programmer position open with a 10% pension. It pays 60,000 for a 10 hour day and I can fast track you to team leader.",deal,1
1,15,candidate,0,148.8,150.8,I reject the previous offer,deal,1
1,16,employer,1,150.8,156,I appreciate your time and I am sorry we cannot reach an agreement.,deal,1
1,17,candidate,0,156,158.8,"I am expecting a salary of 120,000",deal,1
1,18,employer,1,158.8,166,"Programmer, 60000, 10% pension, fast promotion track to team leader based on your performance and 10 hour day",deal,1
1,19,candidate,0,194.8,198.8,I reject. I am expecting a position of project manager,deal,1
1,20,employer,1,202.8,206.4,"Yes, well, we dont have any project manager vacancies.",deal,1
1,21,candidate,0,206.4,211.6,"I am expecting a salary of 120,000 I want a salary of 120,000",deal,1
1,22,employer,1,211.6,216.4,"120,000 is for project manager. I do not need a project manager.",deal,1
1,23,candidate,0,216.4,219.2,"I am expecting a salary of 90,000",deal,1
1,24,employer,1,219.2,221.2,"90,000 is for team leader",deal,1
1,25,candidate,0,223.2,230.4,I agree. Now let's talk about how we can agree on other issues. I want a company car,deal,1
1,26,employer,1,237.6,240.4,a team manger works 10 hour days,deal,1
1,27,candidate,0,240.4,246.4,I reject a workday of 10 hours. I am expecting a workday of 8 hours,deal,1
1,28,employer,1,252.4,253.4,9 hours,deal,1
1,29,candidate,0,253.4,259.4,I reject a workday of 9 hours. I am expecting a workday of 8 hours,deal,1
1,30,employer,1,265.4,267.4,8 hours is for programmer,deal,1
1,31,candidate,0,269.4,276.6,I disagree. I would like a workday of 9 hours and I want a position of project manager,deal,1
1,32,employer,1,291,293,9 hours and team manager,deal,1
1,33,candidate,0,295,302.2,I disagree. I demand a workday of 8 hours and I would like a position of project manager,deal,1
1,34,employer,1,316.6,317.6,no,deal,1
1,35,candidate,0,317.6,320,I am expecting a company car,deal,1
1,36,employer,1,320,326.4,Project manager gets company car. You are not a project manager. You are a team manager.,deal,1
1,37,candidate,0,326.4,332.8,I agree with the offer. Let's proceed to another issue. I demand a fast promotion track,deal,1
1,38,employer,1,339.2,340.2,agree,deal,1
1,39,candidate,0,340.2,344.2,I am willing to have a workday of 8 hours,deal,1
1,40,employer,1,344.2,345.2,disagree,deal,1
1,41,candidate,0,345.2,348.4,I would like a workday of 9 hours,deal,1
1,42,employer,1,348.4,349.4,agree,deal,1
1,43,candidate,0,349.4,353,I am willing to have a pension of 20%,deal,1
1,44,employer,1,353,354.6,10% is non negotiable,deal,1
1,45,candidate,0,354.6,357,I reject a pension of 10%,deal,1
1,46,employer,1,357,365,we have been quite generous in meeting your needs. you qualify for 10% pension. you do not qualify for 20%,deal,1
1,47,candidate,0,373,377.8,I reject 10%. I am willing to have a pension of 20%,deal,1
1,48,employer,1,382.6,383.6,10% pension,deal,1
1,49,candidate,0,383.6,385.6,I accept the previous offer,deal,1
2,1,candidate,0,0,14.8,Hello. I would like to discuss the issues of my contract. I am expecting a position of project manager I am willing to have a position of project manager I would like a position of project manager,no_deal,0
2,2,employer,1,14.8,20,"Hi, could the position of a programmer be of an interest to you?",no_deal,0
2,3,candidate,0,25.2,45.6,"I accept programmer position. Now let's talk about how we can agree on other issues. I am expecting a salary of 120,000 I am expecting a salary of 120,000",no_deal,0
2,4,employer,1,45.6,48,"120,000 is something we cannot pay.",no_deal,0
2,5,candidate,0,48,50.8,"I would like a salary of 90,000",no_deal,0
2,6,employer,1,50.8,55.6,"90,000 is fine for a fast worker. Are you a fast worker?",no_deal,0
2,7,candidate,0,55.6,61.2,I am expecting a company car I am willing to have a company car,no_deal,0
2,8,employer,1,61.2,69.6,"We can give you a company car for a 60,000 salary and if you can prove your experience. Is that fine?",no_deal,0
2,9,candidate,0,78,83.2,I agree. Let's proceed to another issue. I want a fast promotion track,no_deal,0
2,10,employer,1,88.4,96.4,You will have fast promotion if you prove your experience to be correct. If not it will be slower ok?,no_deal,0
2,11,candidate,0,96.4,102.4,I would like a workday of 8 hours I want a workday of 8 hours,no_deal,0
2,12,employer,1,102.4,112.8,All our workers work for 9 hours at least. But 9 hours is fine. Less is not ok. This is something we can't really negotiate about.,no_deal,0
2,13,candidate,0,112.8,126.8,I reject a workday of 9 hours. I want a workday of 8 hours I want a workday of 8 hours,no_deal,0
2,14,employer,1,126.8,139.6,"We can give you a better pension fund, but working hours are not negotiatable. We need 9 hours, and you can work 8 hours at the office and 1 hour at home.",no_deal,0
2,15,candidate,0,152.4,158,I reject a workday of 9 hours. I want a workday of 8 hours,no_deal,0
2,16,employer,1,163.6,165.2,I am opting out.,no_deal,0
3,1,candidate,0,0,7.2,"Hello. I would like to discuss the issues of my contract. I would like a salary of 120,000",deal,1
3,2,employer,1,7.2,8.4,How about 90k?,deal,1
3,3,candidate,0,8.4,18,"I agree with a salary of 90,000. I would like to continue and discuss another issue. I would like a position of project manager",deal,1
3,4,employer,1,27.6,30.8,You can have a position of Team Manager,deal,1
3,5,candidate,0,30.8,38,I agree with a position of team manager. Let's discuss another issue. I want a pension of 20%,deal,1
3,6,employer,1,45.2,47.2,This is acceptable to me,deal,1
3,7,candidate,0,47.2,50,I want a workday of 8 hours,deal,1
3,8,employer,1,50,51.6,How about 9 hours?,deal,1
3,9,candidate,0,51.6,62,I accept a workday of 9 hours. Now let's talk about how we can agree on other issues. I am willing to have a company car,deal,1
3,10,employer,1,72.4,73.6,That is fine.,deal,1
3,11,candidate,0,73.6,77.2,I am willing to have a fast promotion track,deal,1
3,12,employer,1,77.2,79.6,And I also agree with that.,deal,1
4,1,candidate,0,0,6.8,"Hello. I would like to discuss the issues of my contract. I want a salary of 120,000",deal,1
4,2,employer,1,6.8,13.6,"I will need to start you at a salary of 60,000 and we can work from there.",deal,1
4,3,candidate,0,13.6,18,"I reject the previous offer. I demand a salary of 120,000",deal,1
4,4,employer,1,22.4,27.2,"I will not give you a salary of any higher than 90,000",deal,1
4,5,candidate,0,27.2,36.8,I agree with the offer about the salary. I would like to continue and discuss another issue. I want a position of project manager,deal,1
4,6,employer,1,46.4,56,"I understand how important that position is to you, but I would like to start you as a Programmer and work up from there",deal,1
4,7,candidate,0,56,62,I disagree about a position of programmer. I am expecting a position of project manager,deal,1
4,8,employer,1,68,72.4,I can not offer you a position any higher than QA.,deal,1
4,9,candidate,0,72.4,78,I disagree about a position of qa. I demand a position of project manager,deal,1
4,10,employer,1,83.6,87.6,I can not hire you for any position above QA.,deal,1
4,11,candidate,0,91.6,98.4,I disagree about a position of qa. I am willing to have a position of project manager,deal,1
4,12,employer,1,105.2,106.8,How about Team Manager?,deal,1
4,13,candidate,0,106.8,113.2,I accept team manager position. Let's discuss another issue. I am expecting a pension of 20%,deal,1
4,14,employer,1,119.6,122,I accept a pension of 20%,deal,1
4,15,candidate,0,122,125.2,I am expecting a workday of 8 hours,deal,1
4,16,employer,1,128.4,131.2,You will need to work 10 hours.,deal,1
4,17,candidate,0,131.2,146.8,I reject the offer about the working hours. I am expecting a workday of 8 hours I demand a workday of 8 hours,deal,1
4,18,employer,1,146.8,151.2,I will not hire you for any less than 9 hours.,deal,1
4,19,candidate,0,151.2,157.2,I reject the offer about the working hours. I demand a workday of 8 hours,deal,1
4,20,employer,1,163.2,170.8,I reject your demand of 8 hours. You need to work 9 hours or I will not hire you.,deal,1
4,21,candidate,0,178.4,185.6,I reject the offer about the working hours. I am willing to have a workday of 8 hours,deal,1
4,22,employer,1,192.8,199.6,"Okay, I will give you an 8 hour work week if you are on Slow promotion track.",deal,1
4,23,candidate,0,206.4,224,I agree. Now let's talk about how we can agree on other issues. I demand a company car I am willing to have a company car,deal,1
4,24,employer,1,224,228.4,"If you get a company car, you will be a Programmer.",deal,1
4,25,candidate,0,232.8,234.8,I accept the previous offer,deal,1
5,1,candidate,0,0,7.6,Hello. I would like to discuss the issues of my contract. I would like a position of project manager,deal,1
5,2,employer,1,7.6,10.2,Hello Sounds good to me,deal,1
5,3,candidate,0,10.2,13.8,"I am willing to have a salary of 90,000",deal,1
5,4,employer,1,13.8,15,How about 60000,deal,1
5,5,candidate,0,15,41.4,"I accept a salary of 60,000. Now let's talk about how we can agree on other issues. I am expecting a company car I am expecting a company car I am willing to have a company car I want a pension of 20%",deal,1
5,6,employer,1,43.8,44.8,Okay,deal,1
5,7,candidate,0,44.8,47.2,I am expecting a company car,deal,1
5,8,employer,1,47.2,51.6,How about a fast promotion track if you work 10 hours,deal,1
5,9,candidate,0,56,58,I reject the previous offer,deal,1
5,10,employer,1,58,62.4,how about a company car with a 10 percent pension fund,deal,1
5,11,candidate,0,66.8,68.8,I disagree with the offer,deal,1
5,12,employer,1,68.8,70.4,What would you like,deal,1
5,13,candidate,0,70.4,73.6,I am willing to have a company car,deal,1
5,14,employer,1,73.6,76,Yes I gave you a car,deal,1
5,15,candidate,0,76,78.8,I am expecting a fast promotion track,deal,1
5,16,employer,1,78.8,84.4,thats fine with me if youre willing to put in 10 hours of work,deal,1
5,17,candidate,0,90,94.8,I disagree with the offer I would like a fast promotion track,deal,1
5,18,employer,1,97.6,104,"60,000 dollars, project manager, company car, 10% pension fund, fast track, and 10 hours of work",deal,1
5,19,candidate,0,136,139.8,I refuse I am expecting a fast promotion track,deal,1
6,1,candidate,0,0,7.6,Hello. I would like to discuss the issues of my contract. I would like a position of project manager,deal,1
6,2,employer,1,7.6,12.8,Hello I am glad to discuss those issues. How can I help you?,deal,1
6,3,candidate,0,12.8,16,I would like a position of project manager,deal,1
6,4,employer,1,16,19.6,are you sure you wouldnt rather be a programmer?,deal,1
6,5,candidate,0,19.6,24.4,I refuse programmer position. I am expecting a position of project manager,deal,1
6,6,employer,1,29.2,30.8,what about Quality assurance?,deal,1
6,7,candidate,0,30.8,35.6,I reject qa position. I would like a position of project manager,deal,1
6,8,employer,1,40.4,48.4,well I tell you what.  I will give you the project manager position if you choose to work 10 hours,deal,1
6,9,candidate,0,56.4,65.2,"I accept the previous offer. Now let's talk about how we can agree on other issues. I want a salary of 120,000",deal,1
6,10,employer,1,74,76.8,well what do you have to offer?,deal,1
6,11,candidate,0,76.8,79.2,"I want a salary of 120,000",deal,1
